"Series Description","AUSTRALIA -- SPOT EXCHANGE RATE, US$/AUSTRALIAN $ RECIPROCAL OF RXI_N.M.AL ","SPOT EXCHANGE RATE - EURO AREA ","NEW ZEALAND -- SPOT EXCHANGE RATE, US$/NZ$ (RECIPROCAL OF RXI_N.M.NZ) ","United Kingdom -- Spot Exchange Rate, US$/Pound Sterling Reciprocal of rxi_n.m.uk","BRAZIL -- SPOT EXCHANGE RATE, REAIS/US$ ","CANADA -- SPOT EXCHANGE RATE, CANADIAN $/US$ ","CHINA -- SPOT EXCHANGE RATE, YUAN/US$ ","DENMARK -- SPOT EXCHANGE RATE, KRONER/US$ ","HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ ","INDIA -- SPOT EXCHANGE RATE, RUPEES/US$","JAPAN -- SPOT EXCHANGE RATE, YEA/US$ ","KOREA -- SPOT EXCHANGE RATE, WON/US$ ","Malaysia - Spot Exchange Rate, Ringgit/US$ ","MEXICO -- SPOT EXCHANGE RATE, PESOS/US$ ","NORWAY -- SPOT EXCHANGE RATE, KRONER/US$ ","SWEDEN -- SPOT EXCHANGE RATE, KRONOR/US$ ","SOUTH AFRICA -- SPOT EXCHANGE RATE, RAND/US$ ","Singapore - SPOT EXCHANGE RATE, SINGAPORE $/US$ ","SRI LANKA -- SPOT EXCHANGE RATE, RUPEES/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ ","TAIWAN -- SPOT EXCHANGE RATE, NT$/US$ ","THAILAND -- SPOT EXCHANGE RATE -- THAILAND ","VENEZUELA -- SPOT EXCHANGE RATE, BOLIVARES/US$ "
"Unit:","Currency:_Per_AUD","Currency:_Per_EUR","Currency:_Per_NZD","Currency:_Per_GBP","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD"
"Multiplier:","1","1","1","0.00999999978","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Currency:","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","KRW","MYR","MXN","NOK","SEK","ZAR","SGD","LKR","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SD","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.SL","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2000-01,0.6560,1.0131,0.5127,1.6404,1.8057,1.4486,8.2792,7.3492,7.7791,43.5895,105.2960,1130.9900,3.8000,9.4935,8.0241,8.4918,6.1309,1.6757,73.1400,1.5903,30.8895,37.3800,0.6528
2000-02,0.6278,0.9834,0.4903,1.6000,1.7765,1.4512,8.2781,7.5725,7.7816,43.6540,109.3885,1129.7455,3.8000,9.4265,8.2374,8.6480,6.3209,1.7028,73.5520,1.6348,30.8058,37.7585,0.6594
2000-03,0.6094,0.9643,0.4902,1.5799,1.7424,1.4608,8.2786,7.7228,7.7848,43.6383,106.3074,1116.3904,3.8000,9.2886,8.4100,8.6971,6.4675,1.7153,73.8096,1.6636,30.7198,37.9226,0.6668
2000-04,0.5960,0.9449,0.4960,1.5823,1.7696,1.4689,8.2793,7.8872,7.7880,43.6847,105.6270,1110.3200,3.8000,9.3937,8.6272,8.7486,6.6480,1.7096,74.1225,1.6657,30.5203,37.9928,0.6727
2000-05,0.5784,0.9059,0.4708,1.5090,1.8278,1.4957,8.2781,8.2329,7.7907,44.0759,108.3205,1119.4864,3.8000,9.5059,9.0533,9.0925,7.0238,1.7286,74.8668,1.7190,30.7718,38.9514,0.6800
